DateTime UTC,MatchHistory,Team1,Team2,WinTeam,Team1Dragons,Team2Dragons,Team1RiftHeralds,Team2RiftHeralds,Team1Barons,Team2Barons,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Team1Gold,Team2Gold,Team1Kills,Team2Kills,Gamelength Number,Gamelength,OverviewPage,Champion,Role,Team,Kills,Deaths,Assists,Gold,CS,CSPM,GPM,KPAR,fptsk,fptsd,fptsa,fptscs,fptstenbonus,fptstotal
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Ssumday,Ornn,Top,100 Thieves,0,2,5,11268,265,7.832512315271012,333.04433497537275,62.5,0.0,-2.0,10.0,5.3,0,13.3
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Meteos,Olaf,Jungle,100 Thieves,2,7,3,9970,188,5.556650246305473,294.6798029556679,62.5,6.0,-7.0,6.0,3.7600000000000002,0,8.76
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Ry0ma,Zoe,Mid,100 Thieves,2,6,4,10603,224,6.6206896551724785,313.38916256157944,75.0,6.0,-6.0,8.0,4.48,0,12.48
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Cody Sun,Ezreal,Bot,100 Thieves,4,1,1,14779,298,8.807881773399101,436.8177339901521,62.5,12.0,-1.0,2.0,5.96,0,18.96
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Stunt,Nautilus,Support,100 Thieves,0,4,7,6758,34,1.0049261083743941,199.74384236453398,87.5,0.0,-4.0,14.0,0.68,0,10.68
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Kumo,Aatrox,Top,Evil Geniuses.NA,4,2,8,13268,251,7.418719211822733,392.15763546798416,60.0,12.0,-2.0,16.0,5.0200000000000005,0,31.02
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Svenskeren,Kindred,Jungle,Evil Geniuses.NA,2,4,8,11800,208,6.147783251231587,348.76847290640734,50.0,6.0,-4.0,16.0,4.16,0,22.16
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Jiizuke,Corki,Mid,Evil Geniuses.NA,10,1,6,17718,328,9.694581280788272,523.6847290640445,80.0,30.0,-1.0,12.0,6.5600000000000005,2,49.56
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Bang,Aphelios,Bot,Evil Geniuses.NA,3,0,7,12570,263,7.773399014778401,371.52709359606274,50.0,9.0,0.0,14.0,5.26,0,28.259999999999998
2020-06-13 00:40:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,100 Thieves,Evil Geniuses.NA,Evil Geniuses.NA,3,2,1,1,0,1,4,10,0,2,53378,63994,8,20,33.833333333333,33:50,Zeyzal,Yuumi,Support,Evil Geniuses.NA,1,1,18,8638,26,0.7684729064039484,255.31034482758872,95.0,3.0,-1.0,36.0,0.52,2,40.52
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Licorice,Jayce,Top,Cloud9,6,3,4,15824,279,9.0,510.4516129032258,58.82352941176471,18.0,-3.0,8.0,5.58,0,28.58
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Blaber,Olaf,Jungle,Cloud9,5,3,7,13523,234,7.548387096774194,436.2258064516129,70.58823529411765,15.0,-3.0,14.0,4.68,0,30.68
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Nisqy,LeBlanc,Mid,Cloud9,2,2,11,12451,232,7.483870967741935,401.64516129032256,76.47058823529412,6.0,-2.0,22.0,4.64,2,32.64
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Zven,Aphelios,Bot,Cloud9,3,2,6,15160,308,9.935483870967742,489.03225806451616,52.94117647058824,9.0,-2.0,12.0,6.16,0,25.16
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Vulcan (Philippe Laflamme),Nautilus,Support,Cloud9,1,1,8,8584,28,0.9032258064516129,276.9032258064516,52.94117647058824,3.0,-1.0,16.0,0.56,0,18.56
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Solo (Colin Earnest),Sett,Top,FlyQuest,3,6,4,10867,210,6.774193548387097,350.5483870967742,63.63636363636363,9.0,-6.0,8.0,4.2,0,15.2
2020-06-13 00:50:00,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403840?gameHash=401e7669abc02988&amp;tab=overview,Cloud9,FlyQuest,Cloud9,5,0,2,0,2,0,11,1,3,0,65542,50679,17,11,31,31:00,Santorin,Lee Sin,Jungle,FlyQuest,1,3,8,8644,140,4.516129032258065,278.83870967741933,81.81818181818183,3.0,-3.0,16.0,2.8000000000000003,0,18.8
